OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,WIKIDATA,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,MS_FB_PARE,ISO 3166-2,MS_FB
2,12,ARUNACHAL PRADESH,10,DIBANG VALLEY,41,Anini,Q55261605,2,ARUNACHAL EAST,1202,Pre delimitation,5.31154655445,0.84673996543,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:41
2,12,ARUNACHAL PRADESH,9,UPPER SIANG *,34,"TUTING-
YINGKIONG (ST)",Q427049,2,ARUNACHAL EAST,1202,Pre delimitation,3.77475400549,0.52114890498,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:34
1,12,ARUNACHAL PRADESH,7,WEST SIANG,33,Mechuka,Q55261597,1,ARUNACHAL WEST,1201,Pre delimitation,2.12926101428,0.24809327151,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:33
1,12,ARUNACHAL PRADESH,7,WEST SIANG,32,Rumgong,Q28419661,1,ARUNACHAL WEST,1201,Pre delimitation,1.91060158158,0.15369559763,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:32
2,12,ARUNACHAL PRADESH,9,UPPER SIANG *,40,Mariyang-geku,Q25209450,2,ARUNACHAL EAST,1202,Pre delimitation,1.60235921682,0.10584601184,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:40
2,12,ARUNACHAL PRADESH,15,LOWER DIBANG VALLEY,42,Dambuk,Q55261606,2,ARUNACHAL EAST,1202,Pre delimitation,2.90624510374,0.21321694625,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:42
2,12,ARUNACHAL PRADESH,15,LOWER DIBANG VALLEY,43,Roing,Q55261607,2,ARUNACHAL EAST,1202,Pre delimitation,2.06803831808,0.14403096203,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:43
1,12,ARUNACHAL PRADESH,6,UPPER SUBANSIRI,22,Nacho,Q55261584,1,ARUNACHAL WEST,1201,Pre delimitation,2.54728015848,0.27945542232,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:22
2,12,ARUNACHAL PRADESH,16,ANJAW,45,Hayuliang,Q25209190,2,ARUNACHAL EAST,1202,Pre delimitation,3.90886617957,0.59781916114,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:45
2,12,ARUNACHAL PRADESH,8,EAST SIANG,35,Pangin,Q28419662,2,ARUNACHAL EAST,1202,Pre delimitation,1.8712122365,0.12051508637,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:35
2,12,ARUNACHAL PRADESH,11,LOHIT,44,Tezu,Q55261608,2,ARUNACHAL EAST,1202,Pre delimitation,2.55907531645,0.16421854331,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:44
1,12,ARUNACHAL PRADESH,6,UPPER SUBANSIRI,23,Taliha,Q55261585,1,ARUNACHAL WEST,1201,Pre delimitation,1.74513683434,0.13284103014,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:23
1,12,ARUNACHAL PRADESH,7,WEST SIANG,27,Liromoba,Q55261594,1,ARUNACHAL WEST,1201,Pre delimitation,1.26931243364,0.08474434145,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:27
2,12,ARUNACHAL PRADESH,8,EAST SIANG,39,Mebo,Q55261602,2,ARUNACHAL EAST,1202,Pre delimitation,1.36520708533,0.0623949185,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:39
1,12,ARUNACHAL PRADESH,14,KURUNG KUMEY,21,Koloriang,Q55261583,1,ARUNACHAL WEST,1201,Pre delimitation,2.68430329769,0.33391099981,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:21
1,12,ARUNACHAL PRADESH,7,WEST SIANG,30,Along West,Q30600956,1,ARUNACHAL WEST,1201,Pre delimitation,0.52380246196,0.0113724051,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:30
1,12,ARUNACHAL PRADESH,14,KURUNG KUMEY,20,Tali,Q55261582,1,ARUNACHAL WEST,1201,Pre delimitation,1.79564119226,0.11518297322,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:20
2,12,ARUNACHAL PRADESH,8,EAST SIANG,38,Pasighat East,Q55261601,2,ARUNACHAL EAST,1202,Pre delimitation,1.04213166573,0.0459443829,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:38
1,12,ARUNACHAL PRADESH,7,WEST SIANG,31,Along East,Q55261596,1,ARUNACHAL WEST,1201,Pre delimitation,0.68530526992,0.02612971932,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:31
1,12,ARUNACHAL PRADESH,6,UPPER SUBANSIRI,26,Daporijo,Q55261586,1,ARUNACHAL WEST,1201,Pre delimitation,1.51497491343,0.09240765716,country:in/state:ar,AR,country:in/state:ar/assembly-constituency:26
